date,file_type,ticker,name,close,mode,mode_css,revl,mom,r,days,tr_weeks,pl_raw,pl_num,signal_type
2026-04-16,daily,DSGX,Descartes Systems Group,72.6,Bear-Bull Flip,c20,68.1,-3.25,-1.04,5,28,-8.13%,-8.13,Buy
2026-04-16,daily,EARN,Ellington Credit Co,4.71,Bear-Bull Flip,c20,4.57,2.77,-0.8,51,9,+13.58%,13.58,Buy
2026-04-16,daily,EDIT,Editas Medicine,3.37,Dark Green,c4,2.63,8.88,-0.71,26,4,+39.83%,39.83,pP
2026-04-16,daily,EDU,New Oriental Educ. & Techn.,55.47,Bull-Bear Flip,c18,56.93,1.08,-0.43,10,5,-3.13%,-3.13,Sell
2026-04-16,daily,EGO,Eldorado Gold,34.74,Bull-Bear Flip,c18,36.95,1.59,1.12,2,3,-7.16%,-7.16,Sell
2026-04-16,daily,EHTH,eHealth Inc,1.6,Bear-Bull Flip,c20,1.44,0.38,-1.61,67,22,+60.49%,60.49,Buy
2026-04-16,daily,ELPC,Co. Paranaense de Energia,13.35,Dark Green,c4,12.25,9.1,0.79,19,11,+17.21%,17.21,pP
2026-04-16,daily,EOSE,Eos Energy Enterprises,7.08,Bear-Bull Flip,c20,5.73,3.32,-0.45,51,8,+50.80%,50.8,Buy
2026-04-16,daily,EQNR,Equinor ASA,36.82,Bull-Bear Flip,c18,38.5,-1.93,0.87,66,14,+55.36%,55.36,Sell
2026-04-16,daily,ESRT,Empire State Realty Trust,5.46,Bear-Bull Flip,c20,5.25,1.69,-1.04,43,68,+15.48%,15.48,Buy
2026-04-16,daily,ESTC,Elastic NV,47.51,Light Red,c7,51.35,-4.3,-1.22,63,20,+37.05%,37.05,dBuy
